,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2009-12-31,57.75,56.36,61.86,51.54,8094076,44693561007.0,17.77,-2.98,-1.73,20.61
1,2010-01-29,56.76,47.74,56.86,47.27,6981036,35544832366.0,17.02,-15.29,-8.62,17.78
2,2010-02-26,48.23,46.29,51.72,45.27,6569714,30703712285.0,13.51,-3.04,-1.45,16.73
3,2010-03-31,47.25,51.67,52.27,46.28,6800335,32289141858.0,12.94,11.62,5.38,14.21
4,2010-04-30,51.67,50.67,54.22,48.97,6459632,32868265135.0,10.16,-1.94,-1.0,13.5
5,2010-05-31,49.87,46.63,51.37,44.84,6445127,30364020321.0,12.89,-7.97,-4.04,13.47
6,2010-06-28,46.47,48.08,49.23,44.87,3952539,18160665569.0,9.35,3.11,1.45,8.26
7,2010-09-30,49.57,54.61,55.22,48.97,5176251,25836174659.0,13.0,13.58,6.53,10.81
8,2010-10-29,54.22,61.64,68.92,54.22,8129833,50275329447.0,26.92,12.87,7.03,16.99
9,2010-11-30,63.78,58.41,65.92,57.04,7644036,45483036976.0,14.41,-5.24,-3.23,15.97
10,2010-12-31,58.12,57.88,63.87,56.52,5647973,32930983165.0,12.58,-0.91,-0.53,11.8
11,2011-01-31,58.57,51.42,59.32,49.62,5736626,29700660047.0,16.76,-11.16,-6.46,11.99
12,2011-02-28,51.5,51.48,54.22,49.93,4486900,22606587677.0,8.34,0.12,0.06,9.37
13,2011-03-31,51.51,51.18,55.73,50.23,7009958,35653629307.0,10.68,-0.58,-0.3,14.65
14,2011-04-29,51.32,53.95,57.2,51.25,5945220,31374818830.0,11.63,5.41,2.77,12.42
15,2011-05-31,53.72,50.43,54.4,49.41,3455840,17154242340.0,9.25,-6.52,-3.52,7.22
16,2011-06-30,50.22,49.99,50.56,45.68,3325718,15547626322.0,9.68,-0.87,-0.44,6.95
17,2011-07-29,50.1,46.62,51.42,45.98,3615199,16979108535.0,10.88,-6.74,-3.37,7.55
18,2011-08-31,46.62,42.85,47.12,41.73,4669667,19462501353.0,11.56,-8.09,-3.77,9.76
19,2011-09-30,43.12,35.84,43.85,35.66,4223959,15893002624.0,19.11,-16.36,-7.01,8.82
20,2011-10-31,36.08,40.95,42.02,36.04,4462078,16370698112.0,16.69,14.26,5.11,9.32
21,2011-11-30,40.5,37.53,43.57,37.42,4779151,18373897632.0,15.02,-8.35,-3.42,9.98
22,2011-12-30,39.37,36.71,40.65,35.72,4348189,15649696592.0,13.14,-2.18,-0.82,9.08
23,2012-01-31,37.16,40.61,41.74,35.62,3789862,13879178112.0,16.67,10.62,3.9,7.92
